Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR
NDD,"399,922 (0.61‰)",56.28 ± 0.09,"521,963 (0.77‰)",64.85 ± 0.09,"568,632 (0.80‰)",63.56 ± 0.08
Dementia,"343,686 (0.53‰)",48.12 ± 0.08,"453,434 (0.67‰)",55.92 ± 0.08,"481,942 (0.68‰)",53.54 ± 0.08
AD,"154,374 (0.24‰)",21.67 ± 0.06,"181,574 (0.27‰)",22.49 ± 0.05,"238,901 (0.34‰)",26.63 ± 0.05
PD,"43,509 (0.07‰)",6.32 ± 0.03,"53,721 (0.08‰)",7.02 ± 0.03,"72,168 (0.10‰)",8.37 ± 0.03
VD,"19,803 (0.03‰)",2.78 ± 0.02,"28,600 (0.04‰)",3.53 ± 0.02,"37,925 (0.05‰)",4.20 ± 0.02
ALS,"12,727 (0.02‰)",1.84 ± 0.02,"14,808 (0.02‰)",1.91 ± 0.02,"14,522 (0.02‰)",1.65 ± 0.01
HD,"1,613 (0.00‰)",0.23 ± 0.01,"1,844 (0.00‰)",0.24 ± 0.01,"2,036 (0.00‰)",0.24 ± 0.01
County Economic Typology: Nonspecialized,,,,,,
NDD,"226,647 (0.63‰)",64.28 ± 0.14,"299,084 (0.79‰)",74.98 ± 0.14,"334,220 (0.85‰)",75.05 ± 0.13
Dementia,"195,891 (0.54‰)",55.53 ± 0.13,"261,637 (0.69‰)",65.49 ± 0.13,"286,447 (0.73‰)",64.34 ± 0.12
AD,"92,403 (0.26‰)",26.25 ± 0.09,"110,881 (0.29‰)",27.85 ± 0.08,"154,872 (0.39‰)",34.85 ± 0.09
PD,"23,280 (0.06‰)",6.72 ± 0.04,"28,969 (0.08‰)",7.46 ± 0.04,"39,500 (0.10‰)",8.97 ± 0.05
VD,"9,994 (0.03‰)",2.83 ± 0.03,"13,809 (0.04‰)",3.46 ± 0.03,"17,874 (0.05‰)",4.01 ± 0.03
