ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_C_Air","-2.99(-5.02,-0.88)**","1.15(-1.35,3.65)","3.49(1.02,6.03)**","-0.65(-1.55,0.29)","0.0044","0.3697","1.0008","1.0003",3985,5124,3864,3735,1.0013,1031
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_C_Water","-1.02(-4.18,2.25)","0.03(-3.08,3.00)","2.78(0.57,5.10)*","-0.50(-1.43,0.48)","0.5430","0.9933","1.0006","1.0048",4547,1681,3173,2780,1.0048,1031
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_C_Land","-2.15(-4.90,0.53)","-1.39(-3.57,0.86)","3.78(1.25,6.41)**","-0.47(-1.39,0.49)","0.1227","0.2202","1.0011","1.0025",6511,4251,3540,3670,1.0025,1031
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_C_Built","0.90(-1.86,3.46)","-0.30(-3.06,2.49)","2.27(-0.72,5.28)","-0.57(-1.50,0.39)","0.4951","0.8305","1.0013","1.0014",4642,4456,3840,3914,1.0014,1031
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_C_Social","-2.28(-5.42,0.87)","-1.12(-4.67,2.40)","4.05(0.71,7.35)*","-0.66(-1.61,0.29)","0.1627","0.5343","1.0029","1.0020",1752,3688,2927,4067,1.003,1031
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_D_EQI","-1.43(-4.71,1.92)","-3.25(-9.41,2.83)","-0.92(-5.27,3.37)","-0.73(-2.12,0.67)","0.4218","0.3114","1.0015","0.9992",4864,6112,3698,3844,1.0015,136
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_D_Air","-5.38(-8.61,-2.13)**","1.62(-7.21,10.81)","1.44(-2.70,5.47)","-0.60(-1.94,0.74)","0.0027","0.7338","0.9994","1.0014",4134,7903,3263,3537,1.0014,136
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_D_Water","-0.70(-6.52,5.09)","0.51(-4.45,5.33)","-1.91(-5.65,1.99)","-0.71(-2.15,0.74)","0.8017","0.8355","1.0025","1.0012",6117,5443,3660,3612,1.0034,136
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_D_Land","3.77(0.10,7.56)*","-0.90(-5.79,4.06)","-4.18(-8.66,0.48)","-0.60(-1.98,0.82)","0.0431","0.7238","1.0005","1.0010",4791,5482,3726,4157,1.0029,136
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_D_Built","1.23(-3.04,5.51)","0.50(-5.09,6.07)","-2.80(-7.58,2.04)","-0.67(-2.13,0.83)","0.5743","0.8513","1.0001","1.0003",5992,6084,3733,3999,1.0004,136
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_D_Social","-2.03(-6.48,2.41)","9.83(2.53,17.23)*","-0.68(-5.59,4.50)","-0.90(-2.33,0.56)","0.3760","0.0119","1.0003","1.0015",5815,8570,3749,3838,1.0026,136
"G20_G30_G12.2_F01_F03",15,"EQI","-0.21(-1.52,1.14)","3.42(1.97,4.86)***","-2.34(-5.14,0.51)","0.29(-0.19,0.79)","0.7501","0.0002","1.0005","1.0000",5031,5159,3809,3744,1.0094,3136
"G20_G30_G12.2_F01_F03",15,"Air","0.22(-1.01,1.50)","3.01(1.51,4.54)***","-2.39(-5.11,0.26)","0.31(-0.22,0.83)","0.7392","0.0002","1.0003","0.9999",6340,6467,4360,4148,1.0215,3136
"G20_G30_G12.2_F01_F03",15,"Water","0.68(-1.39,2.72)","0.22(-1.61,2.06)","-1.73(-4.55,1.13)","0.38(-0.14,0.91)","0.5047","0.8134","1.0006","1.0020",6576,7628,3975,3619,1.0137,3136
